SKU,Description,UOM,Unit Qty,Unit Weight Kgs,Manufactured/Purchased,Product Group,Analysis Group,Packing Format,Dormant,Watch List,In Stock Qty,STD Cost,Average Unit Cost,Last PO Cost,Allergen,Kosher,Vegan,Vegetarian,POAO,Purity,Energy Kcal,Energy Kj,Total fat,Saturated fat,Monosaturates,Polysaturates,Total carbs,Sugars,Starch,Fibre,Protein,Sodium,Salt,RI mg,15% minimum mg,Upper limit mg,Celery and products thereof,Cereals containing gluten and products thereof,Crustaceans and products thereof,Eggs and products thereof,Fish and products thereof,Lupins and products thereof,Milk and products thereof (including lactose),Molluscs and products thereof,Mustard and products thereof,Nuts and products thereof,Oats and products thereof,Peanuts and products thereof,Sesame seeds and products thereof,Soybeans and products thereof,Sulphur dioxide and sulphites,Wheat and products thereof,Acidity Regulator,Active,Anti-caking Agent,Bulking Agent,Capsule,Colour,Colouring Agent,Emulsifier,Flavour,Mineral,Probiotic,Surfactant,Sweetener,Thickener,Vitamin,HPMC
800022,Bitter Melon Extract 4:1,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,43.7497,44.84,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800023,(#) - Menaquinone-7 (0.1%) (source of Vitamin K2),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,105.505,105.5,,,,,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0.0113,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,
800024,Menaquinone-7 (0.25%) (source of Vitamin K2),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,257.3014,266.48,,,,,,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0.0113,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,
800025,L-Tryptophan,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,21.168,0,19.2848,24.59,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800026,Naringin Powder,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,48.8286,48.83,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800029,Raspberry Extract 10:1,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,43.8935,43.73,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800030,L-Theanine (Synth),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,30.8333,30.85,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800032,Nutri Whey 800FI (Whey Protein Concentrate 80),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,0,0,YES,,,,,80,390,1632,7.9,2,0,0,3,3,0,0,77,0,0,0,0,0,,,,,,,YES,,,,,,,YES,,,,YES,,,,,,,,,,,,,,
800033,Lipophytol-P (Plant Sterols),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,39.64,39.64,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800034,Strawberry Flavour System (18233),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,19.3223,24.4,,,,,,100,318,1331,0,0,0,0,79.6,76.6,2.9,0,0,0.01,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,
800035,Chocolate Flavour System (18230),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,51.805,0,12.3095,12.45,,,,,,100,318,1331,0,0,0,0,79.6,76.6,2.9,0,0,0.01,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,
800036,Vanilla Flavour System (18232),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,15.797,15.75,,,,,,100,318,1331,0,0,0,0,79.6,76.6,2.9,0,0,0.01,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,
800037,Banana Flavour System (18231),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,14.7963,18.9,,,,,,100,318,1331,0,0,0,0,79.6,76.6,2.9,0,0,0.01,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,
800038,Polygonum Cuspidatum Extract (25% Resveratrol),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,0,0,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800039,Alfalfa Herb Powder,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,11.0277,11.03,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800040,Psyllium Husk Powder,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,YES,23.833,0,7.364,7.8,,,,,,95,375,1569,6.3,2.5,0,0,75,30,0,10,5,0.29,0,0,0,0,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800041,Avena Sativa Extract 4:1,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,0,0,YES,,,,,400,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800042,Liquorice Root Extract 4:1,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0.409,0,24.7904,24.79,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800043,Raspberry Extract (4% Raspberry Ketone),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,52.513,0,24.9159,25.99,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800044,Fenugreek Extract 4:1,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0.578,0,20.066,20.31,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800045,Peppermint Leaf Extract 4:1,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,23.4173,23.11,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800047,Aloe Vera Gel Powder 200:1,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0.5023,0,114.3375,114.33,,,,,,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800048,Oregano Extract  4:1,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,0,0,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800049,Ginger Root Extract 20:1,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,47,47,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800050,Fennel Seed Extract 4:1,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,2.957,0,21.3616,21.26,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800051,Chlorella Powder,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,16.2626,16.18,YES,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,YES,,,,,,,,,,,,,,
800052,Black Aged Garlic Extract 100:1,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,41.45,41.45,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800053,Clove Bud Powder,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,0,0,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800054,Garcinia Cambogia Whole Fruit Powder,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,10.2181,9.62,,,,,,100,393,1644,6.5,0,0,0,52.4,0,0,26,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800055,Dandelion Leaf Powder,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,19.5612,19.56,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800056,Tribulus Terrestris Extract 4:1,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,18.32,18.32,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800057,Citrus Aurantium Whole Fruit Powder (Bitter Orange),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,19.8844,30.15,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800058,Glucose Anhydrous,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,20.953,0,2.9404,2.94,,,,,,100,370,1548,1.87,0,0,0,91,91,0,0,0,0.01,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,
800059,(#) - Folic Acid (source of Vitamin B9),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,3.8741,0,111.7499,101.96,,,,,,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.03,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,
800061,Glucomannan (95%),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0.92,0,17.9171,17.92,,,,,,95,500,2092,0,0,0,0,100,0,0,100,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800062,Green Coffee Bean Extract (50% Chlorogenic Acid),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,28.6983,52.42,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800064,Vitasterol S-80 (Plant Sterols),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,18.94,18.94,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800065,Calcium Carbonate (source of Calcium),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,29.984,0,1.8952,2.8,,,,,,40,0,0,0,0,0,0,0,0,0,0,0,0,0,800,120,2500,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,
800066,(#) - Potassium Chloride (source of Potassium),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,107.6196,0,2.855,3.22,,,,,,52.44,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,300,9999,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,
800067,Apple Cider Vinegar Extract (7% Apple Acid),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,9.7636,9.49,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800068,Polygonum Cuspidatum Extract (5% Resveratrol),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,38.21,38.21,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800069,Raspberry Extract (0.5% Raspberry Ketone),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,18.21,18.21,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800070,Black Pepper Extract 4:1,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0.274,0,22.4868,20.75,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800071,Capsicum Extract 10:1,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,34.68,34.68,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800072,D-Aspartic Acid,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,12.0139,11.95,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800073,(#) - Magnesium Oxide (source of Magnesium),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,27.5022,0,3.935,3.62,,,,,,60.3,0,0,0,0,0,0,0,0,0,0,0,0,0,375,56.25,250,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,
800074,Bitter Melon Extract (3% Bitters),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,39.3701,40.32,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800075,Zinc Citrate Dihydrate (source of Zinc),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,YES,38.1613,0,6.4718,6.9344,,,,,,31.3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.5,25,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,
800076,Griffonia Seed Extract (20% 5-HTP),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,30,30,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800077,Rose Hip Powder,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,0,0,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800078,Buchu Leaf Extractc 4:1,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,0,0,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800079,Parsley Leaf Powder,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,2.65,0,23.2289,23.19,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800080,Juniper Berry Powder,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,2.911,0,19.9506,19.95,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800081,Flax Seed Powder,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,1.962,0,9.5571,9.22,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800082,Soy Lecithin Powder,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,10.1463,10.95,YES,,,,,100,763,3192,100,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,YES,,,,YES,,,,,,YES,,,,,,,,
800083,L-Glutamine,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,64.4153,0,7.0462,8.19,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800084,(#) - Riboflavin (source of Vitamin B2),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,7.9959,0,65.6345,88.8,,,,,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0.21,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,
800085,(#) - Thiamine Hydrochloride (source of Vitamin B1),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,3.6144,0,71.366,104.2,,,,,,78.67,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0.165,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,
800086,Dicalcium Phosphate Dihydrate (source of Calcium),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,52.349,0,3.3976,3.72,,,,,,23.2,0,0,0,0,0,0,0,0,0,0,0,0,0,800,120,2500,,,,,,,,,,,,,,,,,,,,YES,,,,,,YES,,,,,,
800087,Silicon Dioxide,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,588.1638,0,3.6327,3.66,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,
800088,Magnesium Stearate,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,188.2187,0,3.365,3.4,,,YES,,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,
800089,Corn Starch,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,0.7305,0.73,,,,,,100,350,1464,0,0,0,0,90,0,0,0,0,0.25,0,0,0,0,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,
800090,Maltodextrin,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,535.4601,0,1.2007,1.2,,,,,,100,400,1674,0,0,0,0,100,0,0,0,0,0.01,0,0,0,0,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,YES,,,
800091,Rice Flour - Heat Treated (FRL-020),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,1007.821,0,1.5982,1.597,,,,,,100,365,1527,1,0.4,0,0,81,0,0,0,8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,
800093,Garcinia Cambogia Extract (60% Hydroxycitric Acid),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,0,0,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800095,(#) - Cyanocobalamin (0.1%) (source of Vitamin B12),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,10.8291,0,17.4148,76.01,,,,,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0004,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,
800096,Transresveratrol (98% Resveratrol),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,YES,8.844,0,141.4579,0,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800097,Pasteurised Skimmed Milk Powder,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,3.2155,3.71,YES,,,,YES,100,363,1519,0.8,0.4,0,0,54,54,0,0,35,0.58,0,0,0,0,,,,,,,YES,,,,,,,,,,,YES,,,,,,,,,,,,,,
800098,(#) - Ascorbic Acid (source of Vitamin C),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,641.9481,0,3.1635,3.15,,,,,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,80,12,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,
800099,Peptan F2000 HD (Fish Collagen),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,12.132,0,22.5239,22.5,YES,,,,YES,100,360,1506,0,0,0,0,0,0,0,0,90,0.2,0,0,0,0,,,,,YES,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800100,Bladderwrack Powder,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,17.4305,28.88,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800101,Green Tea Extract (95% Polyphenols / 40% EGCG),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,12.274,0,33.0476,46.5,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
